"Country","Year","Marriage_Rate","Same_Sex_Marriage","X.Births_Outside_Marriage","Crude.divorce.rate..per.1.000.inhabitants.","Duration.of.marriages.ending.in.divorce","X143153.annotations","Share.of.single.parent.families","Estimated.average.age.at.marriage..women"
"Afghanistan",1972,NA,"not legal",NA,NA,NA,NA,NA,18.1
"Afghanistan",2010,NA,"not legal",NA,NA,NA,NA,NA,21.5
"Afghanistan",2015,NA,"not legal",NA,NA,NA,NA,1,21.5
"Afghanistan",2020,NA,"not legal",NA,NA,NA,NA,NA,NA
"Albania",1960,7800,"not legal",NA,0.5,NA,NA,NA,NA
"Albania",1961,11300,"not legal",NA,0.80000001,NA,NA,NA,NA
"Albania",1962,7500,"not legal",NA,0.69999999,NA,NA,NA,NA
"Albania",1963,7500,"not legal",NA,0.60000002,NA,NA,NA,NA
"Albania",1964,7200,"not legal",NA,0.60000002,NA,NA,NA,NA
"Albania",1965,7500,"not legal",NA,0.60000002,NA,NA,NA,NA
"Albania",1966,6800,"not legal",NA,0.60000002,NA,NA,NA,NA
"Albania",1967,8600,"not legal",NA,0.69999999,NA,NA,NA,NA
"Albania",1968,7800,"not legal",NA,0.89999998,NA,NA,NA,NA
"Albania",1969,7400,"not legal",NA,0.80000001,NA,NA,NA,NA
"Albania",1970,6800,"not legal",NA,0.80000001,NA,NA,NA,NA
"Albania",1971,7000,"not legal",NA,0.80000001,NA,NA,NA,NA
"Albania",1972,7200,"not legal",NA,0.80000001,NA,NA,NA,NA
"Albania",1973,8000,"not legal",NA,0.80000001,NA,NA,NA,NA
"Albania",1974,NA,"not legal",NA,0.80000001,NA,NA,NA,NA
"Albania",1975,7800,"not legal",NA,0.80000001,NA,NA,NA,NA
"Albania",1976,7600,"not legal",NA,0.80000001,NA,NA,NA,NA
"Albania",1977,7900,"not legal",NA,0.80000001,NA,NA,NA,NA
"Albania",1978,8000,"not legal",NA,0.69999999,NA,NA,NA,NA
"Albania",1979,8200,"not legal",NA,0.69999999,NA,NA,NA,NA
"Albania",1980,8100,"not legal",NA,0.80000001,NA,NA,NA,NA
"Albania",1981,8500,"not legal",NA,0.80000001,NA,NA,NA,NA
"Albania",1982,9000,"not legal",NA,0.80000001,NA,NA,NA,NA
"Albania",1983,9000,"not legal",NA,0.80000001,NA,NA,NA,NA
"Albania",1984,9100,"not legal",NA,0.80000001,NA,NA,NA,NA
"Albania",1985,8500,"not legal",NA,0.80000001,NA,NA,NA,NA
