"Country","Year","Male_Life_Expectancy","female_Life_Expectancy","GDP","Marriage_rate","Same_sex_marriage","Births_outside_marriage","Divorce_rate","Estimated_average_age_at_marriage_women","births_per_woman","average_years_of_schooling_of_women_in_reproductive_age","Population_est"
"Australia",1990,73.879,80.036,17824.885721,6900,"not legal",21.9,2.5,24.299999,1.863,11.66414,16960600
"Australia",1995,75.367,81.183,22405.572327,6100,"not legal",26.6,2.8,25.299999,1.825,11.79676,17993083
"Australia",2000,76.917,82.255,28304.656736,5900,"not legal",29.3,2.5999999,26.700001,1.762,11.66341,18991434
"Australia",2005,78.552,83.342,35642.418706,5400,"not legal",32.2,2.5999999,27.6,1.867,12.02057,20178543
"Australia",2010,79.771,84.124,42809.92706,5400,"not legal",33.8,2.3,27.9,1.936,11.95779,22154687
"Austria",1990,72.095,78.758,19462.00202,5900,"not legal",23.6,2.0999999,25.200001,1.462,8.00415,7723954
"Austria",1995,73.418,79.93,23684.631137,5400,"not legal",27.4,2.3,26.299999,1.438,8.706908,7990113
"Austria",2000,75.071,81.144,29376.007114,4900,"not legal",31.3,2.4000001,27.4,1.375,9.378311,8069276
"Austria",2005,76.648,82.281,35024.557484,4800,"not legal",36.5,2.4000001,28.6,1.385,9.76521,8253656
"Belgium",1990,72.503,79.2,18676.853014,6500,"not legal",11.6,2,24.4,1.583,10.55961,10006545
"Belgium",1995,73.583,80.194,22434.291135,5100,"not legal",17.3,3.5,25.6,1.605,11.22274,10186304
"Belgium",2000,74.714,80.978,27785.247413,4400,"not legal",28,2.5999999,26.9,1.633,11.53041,10282046
"Belgium",2005,76.067,81.818,33176.680884,4100,"legal",39.4,2.9000001,28.1,1.761,11.51243,10546885
"Belgium",2010,77.41,82.652,39838.570162,3900,"legal",45.7,2.7,29.4,1.816,11.65948,10938735
"Bulgaria",1995,67.468,74.648,7738.881004,4400,"not legal",25.7,1.3,22.700001,1.343,9.944443,8379305
"Bulgaria",2000,68.084,75.106,6421.997158,4300,"not legal",38.4,1.3,24.700001,1.18,10.22347,7997951
"Bulgaria",2005,69.241,76.253,10183.869594,4400,"not legal",49,1.9,25.6,1.388,10.91005,7686964
"Bulgaria",2010,70.278,77.289,14681.201597,3300,"not legal",54.1,1.5,26.6,1.534,11.13841,7425011
"Canada",1995,75.186,81.069,23485.643444,5500,"not legal",30.5,2.7,26.5,1.637,11.48562,29164153
"Canada",2000,76.464,81.68,29362.289573,5100,"not legal",31.7,2.3,27.5,1.521,11.69892,30588379
"Canada",2005,77.827,82.539,36327.662059,4600,"legal",29.1,2.2,28.700001,1.575,12.76526,32164313
"Chile",2010,75.745,81.661,18129.087986,3500,"not legal",68.5,0.1,29.9,1.884,10.73611,17062531
"Costa Rica",2010,76.367,81.236,13318.135538,5300,"not legal",67.4,2.5,24.200001,1.885,8.743934,4577371
"Croatia",2005,71.879,78.928,15431.955855,5100,"not legal",10.5,1.1,26.200001,1.454,11.4704,4378066
"Croatia",2010,73.418,80.098,19962.957065,5000,"not legal",13.3,1.2,27.1,1.516,12.01641,4328163
"Cyprus",1995,75.255,79.389,17087.534484,10200,"not legal",1.4,1.2,25.700001,2.124,11.01814,855391
"Cyprus",2000,75.933,80.106,21289.378812,13400,"not legal",2.3,1.7,26.9,1.716,11.61015,943288
"Cyprus",2005,76.535,80.748,27763.246925,8000,"not legal",4.4,2,27.299999,1.52,11.08855,1027656
"Denmark",1990,72.149,77.744,18237.277349,6100,"not legal",46.4,2.7,27.799999,1.652,11.3936,5141117
"Denmark",1995,73.053,78.189,22698.883331,6600,"not legal",46.5,2.5,29.200001,1.767,11.96544,5232709
"Denmark",2000,74.313,79.072,28666.801364,7200,"not legal",44.6,2.7,29.9,1.753,12.24365,5341192
"Denmark",2005,75.664,80.175,34152.881663,6700,"not legal",45.7,2.8,30.9,1.816,12.16045,5421701
"Denmark",2010,77.293,81.512,43008.349298,5600,"not legal",47.3,2.5999999,31.200001,1.796,11.93674,5554849
"Estonia",1995,62.831,74.563,6425.051244,4900,"not legal",44.2,5.1999998,24.200001,1.432,11.64879,1433026
"Estonia",2000,64.676,76.14,9392.284689,3900,"not legal",54.5,3,25.200001,1.318,12.28909,1399111
"Estonia",2005,67.097,78.022,16584.411085,4500,"not legal",58.5,3,26.4,1.535,12.36616,1355650
"Estonia",2010,70.101,80.185,21589.87597,3800,"not legal",59.1,2.2,28,1.647,12.42012,1332103
"Finland",1990,71.231,79.11,18136.510019,5000,"not legal",25.2,2.5999999,26.299999,1.743,9.170885,4996220
"Finland",1995,72.668,80.122,19576.529082,4600,"not legal",33.1,2.7,27.200001,1.792,10.2071,5119012
"Finland",2000,74.201,81.217,26784.759711,5100,"not legal",39.2,2.7,28.299999,1.737,10.73768,5187953
"Finland",2005,75.523,82.346,32051.762889,5600,"not legal",40.4,2.5999999,29.4,1.803,11.08979,5258933
"Finland",2010,76.904,83.315,38956.123401,5600,"not legal",41.1,2.5,30.200001,1.829,11.19973,5365784
"France",2000,75.213,82.753,26094.702334,5000,"not legal",43.6,1.9,28.4,1.818,10.72463,59015092
"France",2005,76.696,83.773,30504.058784,4500,"not legal",48.4,2.5,29.6,1.939,11.28653,61120128
"France",2010,78.141,84.734,35912.031842,3900,"not legal",55,2.0999999,30.700001,1.996,11.79715,62879535
"Germany",1990,72.058,78.556,19469.482986,6500,"not legal",15.3,1.9,25.5,1.359,8.626876,79053984
