Entity,Code,Year,Duration of marriages ending in divorce,143153-annotations
Australia,AUS,1997,11.10000038146973,Median duration
Australia,AUS,1998,11.19999980926514,Median duration
Australia,AUS,1999,11.30000019073486,Median duration
Australia,AUS,2000,11.60000038146973,Median duration
Australia,AUS,2001,11.80000019073486,Median duration
Australia,AUS,2002,12,Median duration
Australia,AUS,2003,12.19999980926514,Median duration
Australia,AUS,2004,12.30000019073486,Median duration
Australia,AUS,2005,12.60000038146973,Median duration
Australia,AUS,2006,12.5,Median duration
Australia,AUS,2007,12.5,Median duration
Australia,AUS,2008,12.30000019073486,Median duration
Australia,AUS,2009,12.30000019073486,Median duration
Australia,AUS,2010,12.30000019073486,Median duration
Australia,AUS,2011,12.19999980926514,Median duration
Australia,AUS,2012,12.19999980926514,Median duration
Australia,AUS,2013,12.10000038146973,Median duration
Australia,AUS,2014,12,Median duration
Australia,AUS,2015,12.10000038146973,Median duration
Australia,AUS,2016,12,Median duration
Australia,AUS,2017,12,Median duration
Australia,AUS,2018,12.30000019073486,Median duration
Canada,CAN,2004,12,Median duration
Canada,CAN,2005,12,Median duration
Ecuador,ECU,1997,12,Mean duration
Ecuador,ECU,1998,11.80000019073486,Mean duration
Ecuador,ECU,1999,12.19999980926514,Mean duration
Ecuador,ECU,2000,12.5,Mean duration
Ecuador,ECU,2001,12.89999961853027,Mean duration
Ecuador,ECU,2002,12.69999980926514,Mean duration
Ecuador,ECU,2003,12.89999961853027,Mean duration
Ecuador,ECU,2004,13,Mean duration
Ecuador,ECU,2005,13.5,Mean duration
Ecuador,ECU,2006,13.69999980926514,Mean duration
Ecuador,ECU,2007,13.89999961853027,Mean duration
Ecuador,ECU,2008,14,Mean duration
Ecuador,ECU,2009,14.39999961853027,Mean duration
Ecuador,ECU,2010,14.30000019073486,Mean duration
Ecuador,ECU,2011,14.60000038146973,Mean duration
Ecuador,ECU,2012,14.80000019073486,Mean duration
Ecuador,ECU,2013,15.19999980926514,Mean duration
Ecuador,ECU,2014,15.19999980926514,Mean duration
Ecuador,ECU,2015,15.69999980926514,Mean duration
Ecuador,ECU,2016,15.19999980926514,Mean duration
Ecuador,ECU,2017,14.69999980926514,Mean duration
Ecuador,ECU,2018,14.89999961853027,Mean duration
Germany,DEU,2000,12.89999961853027,Mean duration
Germany,DEU,2001,12.89999961853027,Mean duration
Germany,DEU,2002,12.89999961853027,Mean duration
Germany,DEU,2003,13.10000038146973,Mean duration
Germany,DEU,2004,13.39999961853027,Mean duration
Germany,DEU,2005,13.60000038146973,Mean duration
Germany,DEU,2006,13.69999980926514,Mean duration
Germany,DEU,2007,13.89999961853027,Mean duration
Germany,DEU,2008,14.10000038146973,Mean duration
Germany,DEU,2009,14.30000019073486,Mean duration
Germany,DEU,2010,14.19999980926514,Mean duration
Germany,DEU,2011,14.5,Mean duration
Germany,DEU,2012,14.60000038146973,Mean duration
Germany,DEU,2013,14.69999980926514,Mean duration
Germany,DEU,2014,14.69999980926514,Mean duration
Germany,DEU,2015,14.89999961853027,Mean duration
Germany,DEU,2016,15,Mean duration
Germany,DEU,2017,15,Mean duration
Germany,DEU,2018,14.89999961853027,Mean duration
New Zealand,NZL,1977,11.72999954223633,Median duration
New Zealand,NZL,1978,11.92000007629395,Median duration
New Zealand,NZL,1979,11.72999954223633,Median duration
New Zealand,NZL,1980,12.06999969482422,Median duration
New Zealand,NZL,1981,12.25,Median duration
New Zealand,NZL,1982,12.25,Median duration
New Zealand,NZL,1983,12.21000003814697,Median duration
New Zealand,NZL,1984,12.36999988555908,Median duration
New Zealand,NZL,1985,12.52999973297119,Median duration
New Zealand,NZL,1986,12.56999969482422,Median duration
New Zealand,NZL,1987,12.5,Median duration
New Zealand,NZL,1988,12.27999973297119,Median duration
New Zealand,NZL,1989,12.01000022888184,Median duration
New Zealand,NZL,1990,11.89999961853027,Median duration
New Zealand,NZL,1991,11.97000026702881,Median duration
New Zealand,NZL,1992,12.11999988555908,Median duration
New Zealand,NZL,1993,12.11999988555908,Median duration
New Zealand,NZL,1994,12.40999984741211,Median duration
New Zealand,NZL,1995,12.32999992370605,Median duration
New Zealand,NZL,1996,12.57999992370605,Median duration
New Zealand,NZL,1997,12.60999965667725,Median duration
New Zealand,NZL,1998,12.56999969482422,Median duration
New Zealand,NZL,1999,12.77000045776367,Median duration
New Zealand,NZL,2000,13.0600004196167,Median duration
New Zealand,NZL,2001,13.02000045776367,Median duration
New Zealand,NZL,2002,12.93000030517578,Median duration
New Zealand,NZL,2003,13.10999965667725,Median duration
New Zealand,NZL,2004,13.21000003814697,Median duration
New Zealand,NZL,2005,13.27999973297119,Median duration
New Zealand,NZL,2006,13.23999977111816,Median duration
New Zealand,NZL,2007,13.35000038146973,Median duration
New Zealand,NZL,2008,13.39000034332275,Median duration
New Zealand,NZL,2009,13.27999973297119,Median duration
New Zealand,NZL,2010,13.64999961853027,Median duration
New Zealand,NZL,2011,13.64000034332275,Median duration
New Zealand,NZL,2012,13.60000038146973,Median duration
New Zealand,NZL,2013,14.11999988555908,Median duration
New Zealand,NZL,2014,13.73999977111816,Median duration
New Zealand,NZL,2015,13.73999977111816,Median duration
New Zealand,NZL,2016,13.90999984741211,Median duration
New Zealand,NZL,2017,13.59000015258789,Median duration
New Zealand,NZL,2018,13.63000011444092,Median duration
New Zealand,NZL,2019,13.52999973297119,Median duration
