"Country","Year","Marriage_Rate","Same_Sex_Marriage","%Births_Outside_Marriage"
"Albania",1960,7800,"not legal",NA
"Albania",1961,11300,"not legal",NA
"Albania",1962,7500,"not legal",NA
"Albania",1963,7500,"not legal",NA
"Albania",1964,7200,"not legal",NA
"Albania",1965,7500,"not legal",NA
"Albania",1966,6800,"not legal",NA
"Albania",1967,8600,"not legal",NA
"Albania",1968,7800,"not legal",NA
"Albania",1969,7400,"not legal",NA
"Albania",1970,6800,"not legal",NA
"Albania",1971,7000,"not legal",NA
"Albania",1972,7200,"not legal",NA
"Albania",1973,8000,"not legal",NA
"Albania",1975,7800,"not legal",NA
"Albania",1976,7600,"not legal",NA
"Albania",1977,7900,"not legal",NA
"Albania",1978,8000,"not legal",NA
"Albania",1979,8200,"not legal",NA
"Albania",1980,8100,"not legal",NA
"Albania",1981,8500,"not legal",NA
"Albania",1982,9000,"not legal",NA
"Albania",1983,9000,"not legal",NA
"Albania",1984,9100,"not legal",NA
"Albania",1985,8500,"not legal",NA
"Albania",1986,8500,"not legal",NA
"Albania",1987,8900,"not legal",NA
"Albania",1988,9000,"not legal",NA
"Albania",1989,8600,"not legal",NA
"Albania",1990,8900,"not legal",NA
"Albania",1991,7700,"not legal",NA
"Albania",1992,8300,"not legal",NA
"Albania",1993,8100,"not legal",NA
"Albania",1994,8600,"not legal",NA
"Albania",1995,8300,"not legal",NA
"Albania",1996,8400,"not legal",NA
"Albania",1997,7200,"not legal",NA
"Albania",1998,8300,"not legal",NA
"Albania",1999,8500,"not legal",NA
"Albania",2000,8400,"not legal",NA
"Albania",2001,8400,"not legal",NA
"Albania",2002,8500,"not legal",NA
"Albania",2003,8800,"not legal",NA
"Albania",2004,6700,"not legal",NA
"Albania",2005,6900,"not legal",NA
"Albania",2006,6800,"not legal",NA
"Albania",2007,7100,"not legal",NA
"Albania",2008,6700,"not legal",NA
"Albania",2013,8200,"not legal",NA
"Albania",2014,8200,"not legal",NA
"Albania",2015,8700,"not legal",NA
"Albania",2016,7800,"not legal",NA
"Albania",2017,7900,"not legal",NA
"Albania",2020,NA,"not legal",NA
"Algeria",1967,4699.999809,"not legal",NA
"Algeria",1985,5599.999905,"not legal",NA
"Algeria",1995,5500,"not legal",NA
"Algeria",2005,8500,"not legal",NA
"Algeria",2007,9600.000381,"not legal",NA
"Algeria",2020,NA,"not legal",NA
"American Samoa",1970,11300.00019,"not legal",NA
"American Samoa",1985,10199.99981,"not legal",NA
"American Samoa",1993,6199.999809,"not legal",NA
"American Samoa",2005,3099.999905,"not legal",NA
"American Samoa",2006,2599.999905,"not legal",NA
"American Samoa",2020,NA,"not legal",NA
"Andorra",1976,5099.999905,"not legal",NA
"Andorra",1985,2599.999905,"not legal",NA
"Andorra",1996,1899.999976,"not legal",NA
"Andorra",2004,2900,"not legal",NA
"Andorra",2005,2900,"some rights",NA
"Andorra",2006,3700,"some rights",NA
"Andorra",2007,3100,"some rights",NA
"Andorra",2008,3100,"some rights",NA
"Andorra",2009,3100,"some rights",NA
"Andorra",2012,3700,"some rights",NA
"Angola",1970,4300.000191,"not legal",NA
"Angola",2020,NA,"not legal",NA
"Anguilla",1985,13699.99981,"not legal",NA
"Anguilla",1995,19700.00076,"not legal",NA
"Anguilla",2005,6500,"not legal",NA
"Anguilla",2006,5500,"not legal",NA
"Antigua and Barbuda",1971,4599.999905,"not legal",NA
"Antigua and Barbuda",1985,4099.999905,"not legal",NA
"Antigua and Barbuda",1995,21000,"not legal",NA
"Antigua and Barbuda",2020,NA,"not legal",NA
"Argentina",1970,7500,"not legal",NA
"Argentina",1983,6300.000191,"not legal",NA
"Argentina",1995,4300.000191,"not legal",NA
"Argentina",2005,3400.000095,"not legal",NA
"Argentina",2006,3400.000095,"not legal",NA
"Argentina",2010,3000,"legal",NA
"Argentina",2011,3100,"legal",NA
"Argentina",2012,3200,"legal",NA
"Argentina",2013,2900,"legal",NA
"Argentina",2014,2800,"legal",NA
"Argentina",2015,2800,"legal",NA
"Argentina",2016,2700,"legal",NA
"Armenia",1970,7300.000191,"not legal",NA
"Armenia",1985,9899.999619,"not legal",NA
"Armenia",1995,4199.999809,"not legal",NA
"Armenia",2004,5300,"not legal",NA
"Armenia",2005,5200,"not legal",NA
"Armenia",2006,5200,"not legal",NA
"Armenia",2007,5600,"not legal",NA
"Armenia",2008,5700,"not legal",NA
"Armenia",2009,5800,"not legal",NA
"Armenia",2010,5200,"not legal",NA
"Armenia",2011,6000,"not legal",NA
"Armenia",2015,5900,"not legal",NA
"Armenia",2016,5400,"not legal",NA
"Armenia",2017,5100,"not legal",NA
"Armenia",2020,NA,"not legal",NA
"Aruba",1974,8300.000191,"not legal",NA
"Aruba",1985,7000,"not legal",NA
"Aruba",1995,7400.000095,"not legal",NA
"Aruba",2005,5699.999809,"not legal",NA
"Aruba",2006,5300.000191,"not legal",NA
"Aruba",2020,NA,"not legal",NA
"Australia",1970,9300,"not legal",NA
"Australia",1971,NA,"not legal",9.3
"Australia",1974,NA,"not legal",9.5
"Australia",1976,NA,"not legal",10.1
"Australia",1979,NA,"not legal",11.7
"Australia",1980,7400,"not legal",12.4
"Australia",1981,7600,"not legal",13.2
"Australia",1982,7700,"not legal",NA
"Australia",1983,7500,"not legal",14.7
"Australia",1984,7000,"not legal",14.8
"Australia",1985,7300,"not legal",NA
"Australia",1986,7200,"not legal",NA
"Australia",1987,7000,"not legal",NA
"Australia",1988,7100,"not legal",NA
"Australia",1989,7000,"not legal",20.2
"Australia",1990,6900,"not legal",21.9
"Australia",1991,6600,"not legal",23
"Australia",1992,6600,"not legal",24
"Australia",1993,6400,"not legal",24.9
"Australia",1994,6200,"not legal",25.6
"Australia",1995,6100,"not legal",26.6
"Australia",1996,5800,"not legal",27.4
"Australia",1997,5800,"not legal",28.1
"Australia",1998,5900,"not legal",28.7
"Australia",1999,6000,"not legal",29.2
"Australia",2000,5900,"not legal",29.3
"Australia",2001,5300,"not legal",30.7
"Australia",2002,5400,"not legal",31.3
"Australia",2003,5300,"not legal",31.6
"Australia",2004,5500,"not legal",32.2
"Australia",2005,5400,"not legal",32.2
"Australia",2006,5500,"not legal",32.7
"Australia",2007,5500,"not legal",33.3
"Australia",2008,5500,"not legal",34.3
"Australia",2009,5500,"not legal",34.5
"Australia",2010,5400,"not legal",33.8
"Australia",2011,5400,"not legal",34.2
"Australia",2012,5400,"not legal",34.5
"Australia",2013,5100,"not legal",34.4
"Australia",2014,5200,"not legal",34.4
"Australia",2015,4800,"not legal",NA
"Australia",2016,4900,"not legal",NA
"Australia",2017,4600,"legal",NA
"Austria",1960,8300,"not legal",13
"Austria",1961,8500,"not legal",12.6
"Austria",1962,8400,"not legal",12
"Austria",1963,8100,"not legal",11.6
"Austria",1964,8000,"not legal",11.3
"Austria",1965,7800,"not legal",11.2
"Austria",1966,7600,"not legal",11.4
"Austria",1967,7600,"not legal",11.5
"Austria",1968,7600,"not legal",12
"Austria",1969,7300,"not legal",12.2
"Austria",1970,7100,"not legal",12.8
"Austria",1971,6400,"not legal",13
"Austria",1972,7600,"not legal",13.7
"Austria",1973,6500,"not legal",13.7
"Austria",1974,6500,"not legal",13.8
"Austria",1975,6100,"not legal",13.5
"Austria",1976,6000,"not legal",13.8
"Austria",1977,6000,"not legal",14.2
"Austria",1978,5900,"not legal",14.8
"Austria",1979,6000,"not legal",16.5
"Austria",1980,6200,"not legal",17.8
"Austria",1981,6300,"not legal",19.5
"Austria",1982,6300,"not legal",21.6
"Austria",1983,7400,"not legal",22.4
"Austria",1984,6100,"not legal",21.5
"Austria",1985,5900,"not legal",22.4
"Austria",1986,6100,"not legal",23.3
"Austria",1987,10100,"not legal",23.4
"Austria",1988,4700,"not legal",21
"Austria",1989,5600,"not legal",22.6
"Austria",1990,5900,"not legal",23.6
"Austria",1991,5700,"not legal",24.8
"Austria",1992,5800,"not legal",25.2
"Austria",1993,5700,"not legal",26.3
"Austria",1994,5500,"not legal",26.8
"Austria",1995,5400,"not legal",27.4
"Austria",1996,5300,"not legal",28
"Austria",1997,5200,"not legal",28.8
"Austria",1998,4900,"not legal",29.5
"Austria",1999,4900,"not legal",30.5
"Austria",2000,4900,"not legal",31.3
"Austria",2001,4300,"not legal",33.1
"Austria",2002,4500,"not legal",33.8
"Austria",2003,4600,"not legal",35.3
"Austria",2004,4700,"not legal",35.9
"Austria",2005,4800,"not legal",36.5
"Austria",2006,4500,"not legal",37.2
"Austria",2007,4300,"not legal",38.3
"Austria",2008,4200,"not legal",38.8
"Austria",2009,4300,"not legal",39.3
"Austria",2010,4500,"not legal",40.1
"Austria",2011,4300,"not legal",40.4
"Austria",2012,4600,"not legal",41.5
