Entity,Code,Year,"Crude divorce rate (per 1,000 inhabitants)",Duration of marriages ending in divorce,143153-annotations,Share of single parent families,"Estimated average age at marriage, women"
Afghanistan,AFG,1972,NA,NA,NA,NA,18.1
Afghanistan,AFG,2010,NA,NA,NA,NA,21.5
Afghanistan,AFG,2015,NA,NA,NA,1,21.5
Albania,ALB,1960,0.5,NA,NA,NA,NA
Albania,ALB,1961,0.80000001,NA,NA,NA,NA
Albania,ALB,1962,0.69999999,NA,NA,NA,NA
Albania,ALB,1963,0.60000002,NA,NA,NA,NA
Albania,ALB,1964,0.60000002,NA,NA,NA,NA
Albania,ALB,1965,0.60000002,NA,NA,NA,NA
Albania,ALB,1966,0.60000002,NA,NA,NA,NA
Albania,ALB,1967,0.69999999,NA,NA,NA,NA
Albania,ALB,1968,0.89999998,NA,NA,NA,NA
Albania,ALB,1969,0.80000001,NA,NA,NA,NA
Albania,ALB,1970,0.80000001,NA,NA,NA,NA
Albania,ALB,1971,0.80000001,NA,NA,NA,NA
Albania,ALB,1972,0.80000001,NA,NA,NA,NA
Albania,ALB,1973,0.80000001,NA,NA,NA,NA
Albania,ALB,1974,0.80000001,NA,NA,NA,NA
Albania,ALB,1975,0.80000001,NA,NA,NA,NA
Albania,ALB,1976,0.80000001,NA,NA,NA,NA
Albania,ALB,1977,0.80000001,NA,NA,NA,NA
Albania,ALB,1978,0.69999999,NA,NA,NA,NA
Albania,ALB,1979,0.69999999,NA,NA,NA,NA
Albania,ALB,1980,0.80000001,NA,NA,NA,NA
Albania,ALB,1981,0.80000001,NA,NA,NA,NA
Albania,ALB,1982,0.80000001,NA,NA,NA,NA
Albania,ALB,1983,0.80000001,NA,NA,NA,NA
Albania,ALB,1984,0.80000001,NA,NA,NA,NA
Albania,ALB,1985,0.80000001,NA,NA,NA,NA
Albania,ALB,1986,0.80000001,NA,NA,NA,NA
Albania,ALB,1987,0.80000001,NA,NA,NA,NA
Albania,ALB,1988,0.80000001,NA,NA,NA,NA
Albania,ALB,1989,0.80000001,NA,NA,NA,NA
Albania,ALB,1990,0.80000001,NA,NA,NA,NA
Albania,ALB,1991,0.69999999,NA,NA,NA,NA
Albania,ALB,1992,0.69999999,NA,NA,NA,NA
Albania,ALB,1993,0.69999999,NA,NA,NA,NA
Albania,ALB,1994,0.69999999,NA,NA,NA,NA
Albania,ALB,1995,0.69999999,NA,NA,NA,NA
Albania,ALB,1996,0.60000002,NA,NA,NA,NA
Albania,ALB,1997,0.40000001,NA,NA,NA,NA
Albania,ALB,1998,0.60000002,NA,NA,NA,NA
Albania,ALB,1999,0.69999999,NA,NA,NA,NA
Albania,ALB,2000,0.69999999,NA,NA,NA,23.9
Albania,ALB,2001,0.80000001,NA,NA,NA,NA
Albania,ALB,2002,1.1,NA,NA,NA,22.9
Albania,ALB,2003,1.2,NA,NA,NA,NA
Albania,ALB,2004,0.89999998,NA,NA,NA,NA
Albania,ALB,2005,1.3,NA,NA,NA,24.6
Albania,ALB,2006,1.3,NA,NA,NA,NA
Albania,ALB,2007,1,NA,NA,NA,NA
Albania,ALB,2008,1.1,NA,NA,NA,24.6
Albania,ALB,2011,NA,NA,NA,5.2,NA
Albania,ALB,2014,1.5,NA,NA,NA,NA
Albania,ALB,2015,1.3,NA,NA,NA,NA
Albania,ALB,2016,1.9,NA,NA,NA,NA
Albania,ALB,2017,1.6,NA,NA,NA,24.200001
Algeria,DZA,1963,0.40000001,NA,NA,NA,NA
Algeria,DZA,1992,NA,NA,NA,NA,25.9
Algeria,DZA,2002,NA,NA,NA,NA,29.5
Algeria,DZA,2006,NA,NA,NA,NA,29.700001
Algeria,DZA,2012,NA,NA,NA,NA,28.200001
American Samoa,ASM,1970,0.89999998,NA,NA,NA,NA
American Samoa,ASM,1974,NA,NA,NA,NA,23.299999
American Samoa,ASM,1987,1.1,NA,NA,NA,NA
American Samoa,ASM,1990,NA,NA,NA,NA,25.700001
American Samoa,ASM,1993,0.5,NA,NA,NA,NA
American Samoa,ASM,2005,1.3,NA,NA,NA,NA
American Samoa,ASM,2006,1.3,NA,NA,NA,NA
Angola,AGO,1970,0,NA,NA,NA,NA
Angola,AGO,1974,0,NA,NA,NA,NA
Angola,AGO,2001,NA,NA,NA,NA,20.299999
Angola,AGO,2007,NA,NA,NA,6.6,NA
Angola,AGO,2011,NA,NA,NA,7.4,NA
Angola,AGO,2015,NA,NA,NA,NA,21.5
Angola,AGO,2016,NA,NA,NA,13.4,NA
Anguilla,AIA,1985,0.80000001,NA,NA,NA,NA
Anguilla,AIA,2001,NA,NA,NA,NA,28.6
Anguilla,AIA,2004,1.5,NA,NA,NA,NA
Anguilla,AIA,2005,1.6,NA,NA,NA,NA
Antigua and Barbuda,ATG,1971,0.80000001,NA,NA,NA,NA
Antigua and Barbuda,ATG,1985,0.60000002,NA,NA,NA,NA
Antigua and Barbuda,ATG,1991,NA,NA,NA,NA,33.200001
Antigua and Barbuda,ATG,1995,0.40000001,NA,NA,NA,NA
Antigua and Barbuda,ATG,2001,NA,NA,NA,NA,25.700001
Argentina,ARG,1970,NA,NA,NA,7.1,23.1
Argentina,ARG,1980,NA,NA,NA,7,NA
Argentina,ARG,1991,NA,NA,NA,NA,23.299999
Argentina,ARG,2001,NA,NA,NA,10.1,24.6
Argentina,ARG,2010,NA,NA,NA,11.7,24.6
